URL,Title,Description,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Box Office (Gross USA),Runtime,Distributor,Production Co,Sound Mix,Release Date (Streaming),Aspect Ratio,View the collection
https://www.rottentomatoes.com/m/polite_society,Polite Society,"
                    A merry mash-up of sisterly affection, parental disappointment and bold action, POLITE SOCIETY follows martial artist-in-training Ria Khan who believes she must save her older sister Lena from her impending marriage. After enlisting the help of her friends, Ria attempts to pull off the most ambitious of all wedding heists in the name of independence and sisterhood. 
                ",PG-13 (Strong Language|Some Partial Nudity|Sexual Material|Violence),"Action, Comedy",English,Nida Manzoor,"Tim Bevan, Eric Fellner, Olivier Kaempfer, John Pocock",Nida Manzoor,"Apr 28, 2023 limited",$1.5M,1h 43m,Focus Features,Working Title Films,,"May 16, 2023",Digital 2.39:1,
https://www.rottentomatoes.com/m/creed_iii,Creed III,"
                    After dominating the boxing world, Adonis Creed (Michael B. Jordan) has been thriving in both his career and family life. When a childhood friend and former boxing prodigy, Damian (Jonathan Majors), resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damian -- a fighter who has nothing to lose.
                ",PG-13 (Some Strong Language|Intense Sports Action|Violence),"Drama, Action",English,Michael B. Jordan,"Irwin Winkler, Charles Winkler, William Chartoff, David Winkler, Ryan Coogler, Michael B. Jordan, Elizabeth Raposo, Jonathan Glickman, Sylvester Stallone","Keenan Coogler, Zach Baylin","Mar 3, 2023 wide",$156.2M,1h 56m,United Artists Releasing,"Proximity, Chartoff-Winkler Productions, Glickmania, Metro-Goldwyn-Mayer (MGM), Outlier Society",Dolby Digital,"Mar 31, 2023",Digital 2.39:1,Rocky
https://www.rottentomatoes.com/m/fools_paradise_2023,Fool's Paradise,"
                    A satirical comedy about a down-on-his-luck publicist (Ken Jeong) who discovers a recently released mental health patient (Charlie Day) who looks just like a misbehaving movie star. The publicist subs him into a film, creating a new star. But fame and fortune are not all they are cracked up to be.
                ",R (Language|Some Drug Use|Sexual Content),Comedy,English,Charlie Day,"John Rickard, Christopher Lemole, Tim Zajaros, Alex Saks",Charlie Day,"May 12, 2023 limited",$781.5K,1h 37m,Lionsgate / Roadside Attractions,"Wrigley Pictures, Saks Picture Company, Armory Films",,,,
https://www.rottentomatoes.com/m/chevalier_2022,Chevalier,"
                    Inspired by the incredible true story of composer Joseph Bologne, Chevalier de Saint-Georges. The illegitimate son of an African slave and a French plantation owner, Bologne (Kelvin Harrison Jr. in a tour de force performance) rises to improbable heights in French society as a celebrated violinist-composer and fencer, complete with an ill-fated love affair and a falling out with Marie Antoinette (Lucy Boynton) and her court.
                ",PG-13 (Thematic Content|Suggestive Material|Some Strong Language|Violence),"Biography, History, Drama, Music",English,Stephen Williams,"Ed Guiney, Andrew Lowe, Stefani Robinson, Dianne McGunigle",Stefani Robinson,"Apr 21, 2023 wide",$3.4M,1h 47m,Searchlight Pictures,Element Pictures,Dolby Digital,"Jun 16, 2023",Flat (1.85:1),
https://www.rottentomatoes.com/m/wild_life_2023,Wild Life,"
                    WILD LIFE follows conservationist Kris Tompkins on an epic, decades-spanning love story as wild as the landscapes she dedicated her life to protecting. After falling in love in mid-life, Kris and the outdoorsman and entrepreneur Doug Tompkins left behind the world of the massively successful outdoor brands they'd helped pioneer -- Patagonia, The North Face, and Esprit -- and turned their attention to a visionary effort to create National Parks throughout Chile and Argentina. WILD LIFE chronicles the highs and lows of their journey to effect the largest private land donation in history.
                ",PG-13 (Brief Strong Language),"Documentary, Nature",English,"Jimmy Chin, Elizabeth Chai Vasarhelyi","Elizabeth Chai Vasarhelyi, Jimmy Chin, Bob Eisenhardt, Anna Barnes",,"Apr 14, 2023 limited",$317.4K,1h 33m,Picturehouse,"National Geographic, National Geographic Documentary Films, Little Monster Films",Dolby Digital,"May 26, 2023",,
https://www.rottentomatoes.com/m/rmn,R.M.N.,"
                    Award-winning director Cristian Mungiu's (4 Months, 3 Weeks, 2 Days) gripping portrait of ethnic and economic resentments tearing at the fabric of a small mountain town.
                ",,Drama,Romanian,Cristian Mungiu,"Cristian Mungiu, Simona Paduretu",Cristian Mungiu,"Apr 28, 2023 limited",$37.6K,2h 8m,IFC Films,"Film i Väst, Les Films du Fleuve, Why Not Productions, Mobra Films",,,Digital 2.39:1,
https://www.rottentomatoes.com/m/stay_awake_2022,Stay Awake,"
                    A quietly powerful look at the ripple effects of opioid addiction, STAY AWAKE explores addiction from the lesser-seen viewpoint of the caretakers--in this case teenaged brothers Oleff and Argus. Their mother, played by Metz, is loving and well-meaning but powerless to pull herself out of the destructive cycle of her disease. The boys must put their dreams on the backburner as they're constantly discovering their mom passed out, dragging her to the hospital, and encouraging to go to rehab--with the possibility of relapse always lingering. Anchored by three superb performances, STAY AWAKE finds surprising humor and humanity amid the tragedy of parental addiction.
                ",,Drama,English,Jamie Sisley,"David Ariniello, Shrihari Sathe, Eric Schultz, Kelly Thomas",Jamie Sisley,"May 19, 2023 limited",,1h 34m,Mar Vista Entertainment,"Dialectic, Whitewater Films, Relic Pictures",,,,
https://www.rottentomatoes.com/m/fast_x,Fast X,"
                    Over many missions and against impossible odds, Dom Toretto (Vin Diesel) and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything--and everyone--that Dom loves, forever.
                ",PG-13 (Intense Sequences of Violence|Action|Language|Some Suggestive Material),"Action, Adventure",English,Louis Leterrier,"Neal H. Moritz, Vin Diesel, Justin Lin, Jeff Kirschenbaum, Samantha Vincent","Justin Lin, Dan Mazeau","May 19, 2023 wide",$67.0M,2h 21m,Universal Pictures,"Original Film, Perfect Storm Entertainment, One Race Films","Dolby Digital, Dolby Atmos",,Digital 2.39:1,The Fast and the Furious
https://www.rottentomatoes.com/m/close_to_vermeer,Close to Vermeer,"
                    Go behind the scenes of the largest Vermeer exhibition ever mounted, now on view at the Rijksmuseum in Amsterdam. Capturing the imagination of the art world -- with glowing reviews, global publicity, and tickets sold out through the entirety of its run -- the Rijksmuseum's Vermeer retrospective is nothing short of an historic event. Suzanne Raes's film follows curators, conservators, collectors, and experts in their joint mission to shine a new light on the elusive Dutch Master. This fascinating documentary reveals everything from the quiet diplomacy required to get the Vermeers to the Netherlands and the new technical knowledge gained by scanning the paintings layer by layer, to the shocking news that one work may not be by Vermeer after all. In the process, we discover how Vermeer was able to depict reality so differently from his contemporaries. But above all, Close to Vermeer shows the infectious love Vermeer's art inspires. As one curator lovingly puts it: ""A good exhibition should change your view of the world. Vermeer can really do that.""
                ",,Documentary,Dutch,Suzanne Raes,Ilja Roomans,Suzanne Raes,"May 26, 2023 limited",,1h 18m,Kino Lorber,"Docmakers , NTR Television",,"Jul 11, 2023",,
https://www.rottentomatoes.com/m/the_hole_in_the_fence,The Hole in the Fence,"
                    At a secluded exclusive summer camp in the Mexican countryside, under the watchful eyes of their adult guardians, boys from a prestigious private school receive physical, moral and religious training to turn them into tomorrow's elite. The discovery of a hole in the fence sets in motion a chain of disturbing events as the boys devolve into a Lord of the Flies-like mob mentality that creates and spreads hysteria in this profoundly disturbing coming-of-age drama that unravels like a horror movie while drawing on actual events.
                ",,"Drama, Mystery & thriller",Spanish,Joaquin del Paso,Fernanda De la Peza,"Joaquin del Paso, Lucy Pawlak","May 26, 2023 limited",,1h 42m,Altered Innocence,,,"May 26, 2023",,
https://www.rottentomatoes.com/m/the_wrath_of_becky,The Wrath of Becky,"
                    Two years after she escaped a violent attack on her family, Becky attempts to rebuild her life in the care of an older woman -- a kindred spirit named Elena. But when a group known as the ""Noble Men"" break into their home, attack them, and take her beloved dog, Diego, Becky must return to her old ways to protect herself and her loved ones.
                ",R (Strong Bloody Violence|Gore|Some Sexual References|Pervasive Language),"Action, Mystery & thriller, Horror",English,"Matt Angel, Suzanne Coote","Russ Posternak, Raphael Margules, J.D. Lifshitz, Chadd Harbold, Jordan Yale Levine, Jordan Beckerman, Tracy Rosenblum",Matt Angel,"May 26, 2023 limited",,1h 23m,Quiver Distribution,"Media Finance Capital, Yale Productions, Post Film, Fluffy Bear Studios, RainMaker Films, BoulderLight Pictures, Quiver Distribution",,,Digital 2.39:1,
https://www.rottentomatoes.com/m/chile_76,Chile '76,"
                    Chile, 1976. Carmen heads off to her beach house to supervise its renovation. Her husband, children and grandchildren come back and forth during the winter vacation. When the family priest asks her to take care of a young man he is sheltering in secret, Carmen steps onto unexplored territories, away from the quiet life she is used to.
                ",,"Drama, Mystery & thriller",Spanish,Manuela Martelli,"Omar Zúñiga Hidalgo, Dominga Sotomayor, Alejandra García, Andrés Wood","Manuela Martelli, Alejandra Moffat","May 5, 2023 limited",$63.7K,1h 35m,Kino Lorber,"Cinestación, Wood Producciones, Magma Cine",,"Jul 11, 2023",,
https://www.rottentomatoes.com/m/hypnotic_2023,Hypnotic,"
                    Determined to find his missing daughter, Austin detective Danny Rourke finds himself spiraling down a rabbit hole investigating a series of reality-bending crimes where he will ultimately call into question his most basic assumptions about everything and everyone in his world. Aided by Diana Cruz, a gifted psychic, Rourke simultaneously pursues and is pursued by a lethal specter -- the one man he believes holds the key to finding the missing girl -- only to discover more than he ever bargained for.
                ",R (Violence),"Mystery & thriller, Action",English,Robert Rodriguez,"Jeff Robinov, John Graham, Robert Rodriguez, Mark Gill, Guy Botham, Lisa Ellzey, Racer Max","Robert Rodriguez, Max Borenstein","May 12, 2023 wide",$4.1M,1h 32m,Ketchup Entertainment,Double R Productions,,,Digital 2.39:1,
https://www.rottentomatoes.com/m/master_gardener,Master Gardener,"
                    Directed by Academy Award® nominee Paul Schrader based on his original screenplay, MASTER GARDENER follows Narvel Roth (award-winner Joel Edgerton), the meticulous horticulturist of Gracewood Gardens. He is as much devoted to tending the grounds of this beautiful and historic estate, to pandering to his employer, the wealthy dowager Mrs. Haverhill (three-time Academy Award® nominee Sigourney Weaver). When Mrs. Haverhill demands that he take on her wayward and troubled great-niece Maya (Quintessa Swindell) as a new apprentice, chaos enters Narvel's spartan existence, unlocking dark secrets from a buried violent past that threaten them all.
                ",R (Brief Sexual Content|Nudity|Language),"Mystery & thriller, Drama",English,Paul Schrader,"David Gonzales, Amanda Crittenden, Scott LaStaiti",Paul Schrader,"May 19, 2023 limited",$264.9K,1h 47m,Magnolia Pictures,"Curmudgeon Films, Ottocento Films, Kojo Studios",Dolby Digital,,Digital 2.39:1,
https://www.rottentomatoes.com/m/robots_2023,Robots,"
                    Charles is a womanizer while Elaine is a gold-digger. The duo learn humanity when forced to team up and pursue robot doubles of themselves.
                ",R (Pervasive Language|Sexual Content),"Comedy, Sci-fi, Romance",English,"Casper Christensen, Anthony Hines","Cassian Elwes, Julien Favre, Stephen Hamel, Lars Sylvest","Casper Christensen, Anthony Hines","May 19, 2023 limited",,1h 33m,NEON,Company Films,,"May 19, 2023",,
https://www.rottentomatoes.com/m/buddy_games_spring_awakening,Buddy Games: Spring Awakening,"
                    Dan Bakkedahl (Veep), Kevin Dillon (Entourage), Josh Duhamel (Transformers Franchise), James Roday Rodriguez (Psych), and Nick Swardson (Grandma's Boy) reunite for the hilariously outrageous sequel to the hit comedy! Faced with their biggest challenge yet, the gang sets out to honor a lost friend only to find themselves in the middle of where it all began -- Spring Break -- where they learn their old school ways of partying hardly compete with today's generation.
                ",R (Some Nudity|Crude Sexual Material|Language Throughout|Drug Use|Violent Material),Comedy,English,Josh Duhamel,"Josh Duhamel, Michael J. Luisi","Gabe McKinley, Rachael Thoele","May 19, 2023 limited",,1h 36m,Paramount Global Content Distribution,The Long Game,,"Jun 2, 2023",,
https://www.rottentomatoes.com/m/the_eight_mountains,The Eight Mountains,"
                    After meeting as children over a series of summers in the Italian Alps, Pietro (Luca Marinelli) and Bruno (Alessandro Borghi) reunite as adults to build a mountainside cottage which becomes a site of both reflection and reconciliation. 
                ",,"Drama, Adventure",Italian,"Charlotte Vandermeersch, Felix van Groeningen",,"Paolo Cognetti, Felix van Groeningen, Charlotte Vandermeersch","Apr 28, 2023 limited",$145.5K,2h 27m,Sideshow and Janus Films,"Elastic Film, Screen Flanders, Menuetto Film, SKY, Ciné+, Film Commission Regione Valle d'Aosta, Rufus, Canal+, Wildside, Pyramide Productions, Flanders Audiovisual Fund (VAF), Vision Distribution",Digital 5.1,,Academy (1.33:1),
https://www.rottentomatoes.com/m/the_machine_2023,The Machine,"
                    Bert Kreischer rose to fame as a stand-up comedian known as The Machine, and in his signature set he recounts his true experience with Russian mobsters while on a booze-soaked college trip. Now, 23 years later, that trip has come back to haunt him as he and his estranged father (Mark Hamill) are kidnapped back to Russia by the mob to atone for something they say he did. Together, Bert and his father must retrace the steps of his younger self (Jimmy Tatro) in the midst of a war within a sociopathic crime family, all while attempting to find common ground in their often fraught relationship.
                ",R (Some Sexual References|Pervasive Language|Drug Use|Strong Violence),"Comedy, Action",English,Peter Atencio,"Bert Kreischer, LeeAnn Kreischer, Judi Marmel, Cale Boyter, Peter Atencio","Kevin Biegel, Scotty Landes","May 26, 2023 wide",,1h 52m,Screen Gems,"Shaken Not Stirred, Balkanic Media",,,Scope (2.35:1),
https://www.rottentomatoes.com/m/other_peoples_children_2022,Other People's Children,"
                    Rachel is 40 years old, with no children. She loves her life: her high school students, her friends, her ex, her guitar lessons. When she falls in love with Ali, she becomes attached to Leila, his 4-year-old daughter. She tucks her into bed, cares for her, loves her like her own. But to love other people’s children is risky.
                ",,"Drama, Comedy",French,Rebecca Zlotowski,"Frédéric Jouve, Marie Lecoq",Rebecca Zlotowski,"Apr 21, 2023 limited",$61.6K,1h 44m,Music Box Films,"France 3 Cinéma, Les Films Velvet",,,,
https://www.rottentomatoes.com/m/big_george_foreman_the_miraculous_story_of_the_once_and_future_heavyweight_champion_of_the_world,Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World,"
                    Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World is based on the remarkable true story of one of the greatest comebacks of all time and the transformational power of second chances. Fueled by an impoverished childhood, Foreman channeled his anger into becoming an Olympic Gold medalist and World Heavyweight Champion, followed by a near-death experience that took him from the boxing ring to the pulpit. But when he sees his community struggling spiritually and financially, Foreman returns to the ring and makes history by reclaiming his title, becoming the oldest and most improbable World Heavyweight Boxing Champion ever.
                ",PG-13 (Some Sports Violence),"Biography, Drama, Sports",English,George Tillman Jr.,David Zelon,"Frank Baldwin, George Tillman Jr., Dan Gordon","Apr 28, 2023 wide",$5.3M,2h 9m,Columbia Pictures,"Mandalay Pictures, State Street Pictures, Affirm Films",Dolby Digital,"May 16, 2023",,
https://www.rottentomatoes.com/m/pichaikkaran_2,Pichaikkaran 2,"
                    A business tycoon named Vijay Gurumoorthy is assassinated by a goon called Satya.
                ",,"Action, Mystery & thriller, Drama",Tamil,Vijay Antony,Fathima Vijay Antony,"Paul Antony, Vijay Antony, K. Palani","May 18, 2023 limited",,2h 33m,Prime Media,Vijay Antony Film Corporation,,,,
https://www.rottentomatoes.com/m/the_worst_ones,The Worst Ones,"
                    A film shooting will take place at the cité Picasso, in the suburbs of Boulogne-Sur-Mer, in the north of France. During the casting, four teenagers, Lily, Ryan, Maylis and Jessy are chosen to play in the film. Everyone in the neighborhood is surprised: why only take the ""worst ones""?
                ",,"Comedy, Drama",French (France),"Lise Akoka, Romane Gueret","Marine Alaric, Frédéric Jouve","Lise Akoka, Romane Gueret, Éléonore Gurrey","Mar 24, 2023 limited",$18.9K,1h 39m,Kino Lorber,"Ciclic-Region Centre-Val de Loire, Cinémage 16, Pictanovo, France Télévisions, Ciné+, France 3 Cinéma, Canal+, Les Films Velvet, Centre National du Cinéma et de L'image Animée, Cinéventure 7, Région Hauts-de-France",,,Scope (2.35:1),
https://www.rottentomatoes.com/m/mobking,MobKing,"
                    After returning home from a lengthy prison sentence, a loyal crime family confidant quickly realizes that he and his family are the targets of the organization that he remained devoted to all of his life. In order to save his family, he must choose whether to run or fight back.
                ",,"Drama, Mystery & thriller",English,Jokes Yanes,"Antoni Corone, Jokes Yanes, Cristy Trabadass","Jokes Yanes, J. Bishop, Cristy Trabadass, Ciro Dapagio","May 26, 2023 limited",,1h 29m,Gravitas Ventures,"Button Man Films, Mainman Productions, Ciro Dapagio Films",,"May 26, 2023",,
https://www.rottentomatoes.com/m/the_super_mario_bros_movie,The Super Mario Bros. Movie,"
                    With help from Princess Peach, Mario gets ready to square off against the all-powerful Bowser to stop his plans from conquering the world.
                ",PG (Action and Mild Violence),"Kids & family, Comedy, Adventure, Animation",English,"Aaron Horvath, Michael Jelenic","Christopher Meledandri, Shigeru Miyamoto",Matthew Fogel,"Apr 5, 2023 wide",$549.1M,1h 32m,Universal Pictures,"Illumination Entertainment, Universal Pictures, Nintendo","Dolby Atmos, DTS, Dolby Digital","May 16, 2023",Digital 2.39:1,
https://www.rottentomatoes.com/m/evil_dead_rise,Evil Dead Rise,"
                    In the fifth Evil Dead film, a road-weary Beth pays an overdue visit to her older sister Ellie, who is raising three kids on her own in a cramped L.A apartment. The sisters' reunion is cut short by the discovery of a mysterious book deep in the bowels of Ellie's building, giving rise to flesh-possessing demons, and thrusting Beth into a primal battle for survival as she is faced with the most nightmarish version of motherhood imaginable.
                ",R (Strong Bloody Horror Violence|Some Language|Gore),"Horror, Mystery & thriller, Fantasy",English,Lee Cronin,Rob Tapert,Lee Cronin,"Apr 21, 2023 wide",$64.2M,1h 37m,Warner Bros. Pictures,"Warner Bros., Department of Post, Pacific Renaissance, New Line Cinema, Wild Atlantic Pictures, Ghost House Pictures","Dolby Digital, Dolby Atmos","May 9, 2023",Digital 2.39:1,Evil Dead
https://www.rottentomatoes.com/m/book_club_the_next_chapter,Book Club: The Next Chapter,"
                    The highly anticipated sequel follows our four best friends as they take their book club to Italy for the fun girls trip they never had. When things go off the rails and secrets are revealed, their relaxing vacation turns into a once-in-a-lifetime cross-country adventure.
                ",PG-13 (Some Strong Language|Suggestive Material),Comedy,English,Bill Holderman,"Erin Simms, Bill Holderman","Bill Holderman, Erin Simms","May 12, 2023 wide",$13.1M,1h 47m,Focus Features,"Apartment Story, Fifth Season",,,Flat (1.85:1),
https://www.rottentomatoes.com/m/are_you_there_god_its_me_margaret,"Are You There God? It's Me, Margaret.","
                    For over fifty years, Judy Blume's classic and groundbreaking novel Are You There God? It's Me, Margaret. has impacted generations with its timeless coming of age story, insightful humor, and candid exploration of life's biggest questions. In Lionsgate's big-screen adaptation, 11-year-old Margaret (Abby Ryder Fortson) is uprooted from her life in New York City for the suburbs of New Jersey, going through the messy and tumultuous throes of puberty with new friends in a new school. She relies on her mother, Barbara (Rachel McAdams), who is also struggling to adjust to life outside the big city, and her adoring grandmother, Sylvia (Kathy Bates), who isn't happy they moved away and likes to remind them every chance she gets.
                ",PG-13 (Sexual Education|Thematic Material|Some Suggestive Material),"Comedy, Drama",English,Kelly Fremon Craig,"Julie Ansell, James L. Brooks, Julie Ansell, Richard Sakai, Kelly Fremon Craig, Judy Blume, Amy Brooks, Aldric La'Auli Porter",Kelly Fremon Craig,"Apr 28, 2023 wide",$18.7M,1h 45m,Lionsgate,Gracie Films,Dolby Digital,,Flat (1.85:1),
https://www.rottentomatoes.com/m/ant_man_and_the_wasp_quantumania,Ant-Man and The Wasp: Quantumania,"
                    Super-Hero partners Scott Lang (Paul Rudd) and Hope van Dyne (Evangeline Lilly) return to continue their adventures as Ant-Man and the Wasp. Together, with Hope's parents Janet van Dyne (Michelle Pfeiffer) and Hank Pym (Michael Douglas), and Scott's daughter Cassie Lang (Kathryn Newton), the family finds themselves exploring the Quantum Realm, interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.
                ",PG-13 (Violence/Action|Language),"Action, Adventure, Fantasy, Comedy",English,Peyton Reed,"Kevin Feige, Stephen Broussard",Jeff Loveness,"Feb 17, 2023 wide",$214.4M,2h 4m,Walt Disney Pictures,"Walt Disney Pictures, Marvel Studios, The South Australian Film Corporation, Québec Production Services Tax Credit",Dolby Atmos,"Apr 18, 2023",,Marvel Cinematic Universe
https://www.rottentomatoes.com/m/somewhere_in_queens,Somewhere in Queens,"
                    Leo Russo (Ray Romano) lives a simple life in Queens, New York with his wife Angela (Laurie Metcalf), their shy but talented son ""Sticks"" (Jacob Ward), and Leo’s close-knit network of Italian-American relatives and neighborhood friends. Happy enough working at the family construction business alongside his father (Tony Lo Bianco) and younger brother (Sebastian Maniscalco), Leo lives each week for Sticks' high-school basketball games, never missing a chance to cheer on his only child as he rules the court as a star athlete. When the high-school senior gets a surprising and life-changing opportunity to play basketball in college, Leo jumps at the chance to provide a plan for his future, away from the family construction business. But when sudden heartbreak threatens to derail Sticks, Leo goes to unexpected lengths to keep his son on this new path.
                ",R (Language|Some Sexual Material),"Comedy, Drama",English,Ray Romano,"Albert Berger, Ron Yerxa, Ray Romano, Mark Stegemann","Ray Romano, Mark Stegemann","Apr 21, 2023 wide",$1.7M,1h 47m,"Roadside Attractions, Lionsgate Films",Bona Fide Productions,,,,
https://www.rottentomatoes.com/m/it_aint_over,It Ain't Over,"
                    An intimate portrait of a misunderstood American icon, this emotional and uplifting documentary about Yogi Berra takes us beyond the caricatures and ""Yogisms,"" and into the heart of a sports legend whose unparalleled accomplishments on the baseball diamond were often overshadowed by his off-the-field persona.
                ",PG (Some Drug References|Brief War Images|Smoking|Language),"Documentary, Biography",English,Sean Mullin,"Natalie Metzger, Matt Miller, Mike Sobiloff, Peter Sobiloff",Sean Mullin,"May 12, 2023 limited",$246.6K,1h 38m,Sony Pictures Classics,"Five By Eight Productions, Vanishing Angle",,,,
https://www.rottentomatoes.com/m/renfield,Renfield,"
                    In this modern monster tale of Dracula's loyal servant, Nicholas Hoult (Mad Max: Fury Road, X-Men franchise) stars as Renfield, the tortured aide to history's most narcissistic boss, Dracula (Oscar® winner Nicolas Cage). Renfield is forced to procure his master's prey and do his every bidding, no matter how debased. But now, after centuries of servitude, Renfield is ready to see if there's a life outside the shadow of The Prince of Darkness. If only he can figure out how to end his codependency.
                ",R (Language Throughout|Bloody Violence|Some Drug Use|Some Gore),"Horror, Comedy, Fantasy",English,Chris McKay,"Robert Kirkman, David Alpert, Bryan Furst, Sean Furst, Chris McKay",Ryan Ridley,"Apr 14, 2023 wide",$17.1M,1h 33m,Universal Pictures,Skybound Entertainment,Dolby Digital,"May 2, 2023",Digital 2.39:1,
https://www.rottentomatoes.com/m/knights_of_the_zodiac,Knights of the Zodiac,"
                    Based on the international anime sensation, Knights of the Zodiac brings the Saint Seiya saga to the big screen in live-action for the first time. Seiya (Mackenyu), a headstrong street teen, spends his time fighting for cash while he searches for his abducted sister. When one of his fights unwittingly taps into mystical powers he never knew he had, Seiya finds himself thrust into a world of warring saints, ancient magical training and a reincarnated goddess who needs his protection. If he’s to survive, he will need to embrace his destiny and sacrifice everything to take his rightful place among the Knights of the Zodiac.
                ",PG-13 (Action/Violence),"Action, Adventure, Fantasy",English,Tomek Baginski,"Yoshi Ikezawa, Joseph Chou, Tim Kwok","Matthew Stuecken, Kiel Murray","May 12, 2023 wide",$925.0K,,Stage 6 Films,"Sony Pictures Entertainment, Convergence Entertainment, Takz Film, Toei Animation, Toei Company, Stage 6 Films, Hero Squared, Sola Entertainment",,,,
https://www.rottentomatoes.com/m/white_balls_on_walls,White Balls on Walls,"
                    Amsterdam's Stedelijk Museum of Modern Art wants to become more diverse and inclusive. But how to go about that? An honest look behind the scenes into the sometimes-fraught process taking place in many public institutions.
                ",,Documentary,Dutch,Sarah Vos,"Elize Kerseboom, Frank van den Engel","Sarah Vos, Sarah Vos","May 26, 2023 limited",,1h 30m,Icarus Films,Zeppers Film and TV IKON,,,,
https://www.rottentomatoes.com/m/guardians_of_the_galaxy_vol_3,Guardians of the Galaxy Vol. 3,"
                    In Marvel Studios ""Guardians of the Galaxy Vol. 3"" our beloved band of misfits are looking a bit different these days. Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.
                ",PG-13 (Intense Sequences of Violence|Action|Strong Language|Suggestive/Drug References|Thematic Elements),"Sci-fi, Adventure, Action, Fantasy, Comedy",English,James Gunn,Kevin Feige,James Gunn,"May 5, 2023 wide",$267.0M,2h 30m,Walt Disney Pictures,Marvel Studios,"Dolby Digital, Dolby Atmos",,,Marvel Cinematic Universe
https://www.rottentomatoes.com/m/the_little_mermaid_2023,The Little Mermaid,"
                    The youngest of King Triton's daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. While mermaids are forbidden to interact with humans, Ariel must follow her heart. She makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land, but ultimately places her life -- and her father's crown -- in jeopardy.
                ",PG (Some Scary Images|Action/Peril),"Kids & family, Musical, Fantasy",English,Rob Marshall,"Marc Platt, Lin-Manuel Miranda, John DeLuca, Rob Marshall",David Magee,"May 26, 2023 wide",,2h 15m,Walt Disney Pictures,"Walt Disney Pictures, Lucamar, Marc Platt Productions","Dolby Digital, Dolby Atmos, DTS, Dolby",,Digital 2.39:1,
https://www.rottentomatoes.com/m/air_2023,Air,"
                    From award-winning director Ben Affleck, AIR reveals the unbelievable game-changing partnership between a then-rookie Michael Jordan and Nike's fledgling basketball division which revolutionized the world of sports and contemporary culture with the Air Jordan brand. This moving story follows the career-defining gamble of an unconventional team with everything on the line, the uncompromising vision of a mother who knows the worth of her son’s immense talent, and the basketball phenom who would become the greatest of all time.
                ",R (Language),"Drama, Sports",English,Ben Affleck,"Ben Affleck, Matt Damon, David Ellison, Jesse Sisgold, Jon Weinbach, Madison Ainley, Jeff Robinov, Peter Guber, Jason Michael Berman",Alex Convery,"Apr 5, 2023 wide",$52.3M,1h 52m,Amazon Studios,"Artists Equity, Mandalay Pictures",Dolby Digital,"May 12, 2023",Flat (1.85:1),
https://www.rottentomatoes.com/m/the_starling_girl,The Starling Girl,"
                    Seventeen-year-old Jem Starling struggles to define her place within her fundamentalist Christian community in rural Kentucky. Even her greatest joy of dancing with the church group is tempered by worry that her actions are sinful and she is caught between a burgeoning awareness of her own sexuality and her religious devotion. With the return of Owen, an enigmatic youth pastor, Jem soon finds herself attracted to his worldliness and charm. Slowly, he draws her into a dangerous relationship that could upend their entire community.
                ",R,Drama,English,Laurel Parmet,"Kevin Rowe, Kara Durrett",Laurel Parmet,"May 12, 2023 limited",$63.7K,1h 56m,Bleecker Street,"Sons of Rigor Films, 2AM, Pinky Promise",,,,
https://www.rottentomatoes.com/m/you_hurt_my_feelings_2023,You Hurt My Feelings,"
                    Beth (Julia Louis-Dreyfus), a popular writer, and her husband Don, a well-liked teacher, share the kind of relationship that truly, seriously, for the love of God cannot be real: that is, they're actually in love. Even after decades of marriage, parenting, and their own successful careers, their physical spark has somehow not diminished; in fact, they seem to relish the opportunity to share a single ice cream cone and drive others -- including their son, Charlie -- mad. Should it come as a surprise then that his own marriage is in crisis? But when Beth discovers that Don has been untruthful to her about his opinion of her work for years -- Beth's world comes crashing down. Has their whole relationship been one Big Fat Lie?
                ",R (Language),Comedy,English,Nicole Holofcener,"Stefanie Azpiazu, Anthony Bregman, Nicole Holofcener, Julia Louis-Dreyfus",Nicole Holofcener,"May 26, 2023 limited",,1h 33m,A24,"FilmNation Entertainment, Likely Story",Dolby Digital,,,
