URL,Title,Description,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Box Office (Gross USA),Runtime,Distributor,Production Co,Sound Mix,Release Date (Streaming),Aspect Ratio,View the collection
https://www.rottentomatoes.com/m/the_popes_exorcist,The Pope's Exorcist,"
                    Inspired by the actual files of Father Gabriele Amorth, Chief Exorcist of the Vatican (Academy Award®-winner Russell Crowe), The Pope's Exorcist follows Amorth as he investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.
                ",R (Sexual References|Language|Some Nudity|Violent Content),"Horror, Mystery & thriller",English,Julius Avery,"Doug Belgrad, Michael Patrick Kaczmarek, Jeff Katz","Michael Petroni, Evan Spiliotopoulos, R. Dean McCreary, Chester Hastings","Apr 14, 2023 wide",$19.8M,1h 43m,"Sony Pictures Entertainment, Screen Gems","Jesus & Mary, Ad hoc studios, Screen Gems, Loyola Productions, 2.0 Entertainment, Intimacy on Set",,"May 2, 2023",,
https://www.rottentomatoes.com/m/kandahar_2023,Kandahar,"
                    An undercover CIA operative gets stuck in hostile territory in Afghanistan after his mission is exposed. Accompanied by his translator, he must fight enemy combatants as he tries to reach an extraction point in Kandahar.
                ",R (Violence and Language),"Action, Mystery & thriller",English,Ric Roman Waugh,"Basil Iwanyk, Brendon Boyea, Erica Lee, Gerard Butler, Alan Siegel, Christian Mercuri, Scott LaStaiti",Mitchell LaFortune,"May 26, 2023 wide",,2h 0m,Open Road Films,"MBC Studios, Thunder Road Pictures, Capstone Studios, G-BASE",,,Digital 2.39:1,
https://www.rottentomatoes.com/m/born_to_fly_2023,Born to Fly,"
                    After an unforeseen threat arises mid-air, a talented young air force test pilot is forced to test not only the capabilities of his top-secret aircraft, but also his own physical and psychological limits, in order to survive.
                ",,"Action, Drama",Chinese,Liu Xiaoshi,,"Gui Guan, Liu Xiaoshi","Apr 28, 2023 limited",$273.4K,2h 8m,Well Go USA Entertainment,"Laurel Blossom Movie, Bona Film Group, Magic, Aviation Industry Corporation of China, Phoenix Entertainment, Alibaba Pictures, China Film Co., Ltd., Free Whale Pictures",,,,
https://www.rottentomatoes.com/m/the_night_of_the_12th,The Night of the 12th,"
                    In nearly every police precinct, detectives are inevitably confronted with a case that goes unsolved. The more heinous the crime, the more it haunts those whose duty it is solve it. Such is the dilemma for Yohan Vivès--a young, recently promoted police Captain--when he begins investigating the gruesome murder of a young women named Clara in the town of Grenoble. It's clear that the attack was pre-meditated, and the violent nature of the crime suggests revenge. Vivés' team methodically digs through the details of Clara's life, uncovering her secrets in hopes of weeding out the killer. Certain their suspect is a scorned ex-lover, Vivés is confronted with another, more complicated question: which one? Based on a true crime book by Pauline Guéna, The Night of the 12th is a gritty mystery that's ""both highly effective and brilliantly acted, where procedures and mindsets reveal a frayed society"" (Cineuropa), posing uneasy questions about the male-dominated world of law enforcement, and their ability to handle the violent crimes routinely perpetrated against women victims.
                ",,"Crime, Drama, Mystery & thriller",French (France),Dominik Moll,"Caroline Benjo, Barbara Letellier, Carole Scotta, Simon Arnal","Gilles Marchand, Dominik Moll","May 19, 2023 limited",$18.6K,1h 55m,Film Movement,"Ciné+, VOO, Cinéventure 7, Versus Production, Haut et Court, Cinécap 5, Tax Shelter du Gouvernement Fédéral Belge, Région Auvergne-Rhône-Alpes, Radio Télévision Belge Francophone, Auvergne Rhône-Alpes Cinéma, Proximus, Centre National du Cinéma et de L'image Animée, O'Brother Distribution, Centre du Cinéma et de l'Audiovisuel de la Fédération Wallonie-Bruxelles, Wallimage, BE TV, RTBF, Cinémage 16, Canal+, Doco Digital",,"Aug 1, 2023",,
https://www.rottentomatoes.com/m/museum_of_the_revolution,Museum of the Revolution,"
                    ""The wind got up in the night and took our plans away,"" reads the proverb in the opening titles of MUSEUM OF THE REVOLUTION. It's a reference to the 1961 plan to build a grand museum in Belgrade as a tribute to Socialist Yugoslavia. Meant to ""safeguard the truth"" about the Yugoslav people, the plan never got beyond the construction of the basement. The derelict building now tells a very different story from the one envisioned by the initiators 60 years ago. The cavernous, damp, pitch-dark space is inhabited by the outcasts of a society reshaped by capitalism: a precocious and energetic little girl who earns cash on the street by cleaning car windows with her mother, and their friend, an older woman also living in the basement. In his award-winning, visually stunning and formally daring feature documentary debut, director and cinematographer Srdjan Keca powerfully illuminates the tender relationship between the three women -- a source of refuge, community, and hope -- against the backdrop of a city in transformation.
                ",,Documentary,Serbian,Srdjan Keca,"Vanja Jambrovic, Srdjan Keca",Srdjan Keca,"May 19, 2023 limited",,1h 31m,Lightdox,"Nutprodukce, Croatian Radiotelevision, Al Jazeera Documentary Channel",,,,
https://www.rottentomatoes.com/m/sisu_2022,Sisu,"
                    During the last desperate days of WWII, a solitary prospector (Jorma Tommila) crosses paths with Nazis on a scorched-earth retreat in northern Finland. When the Nazis steal his gold, they quickly discover that they have just tangled with no ordinary miner. While there is no direct translation for the Finnish word ""sisu"", this legendary ex-commando will embody what sisu means: a white-knuckled form of courage and unimaginable determination in the face of overwhelming odds. And no matter what the Nazis throw at him, the one-man death squad will go to outrageous lengths to get his gold back -- even if it means killing every last Nazi in his path.
                ",R (Strong Bloody Violence|Language|Gore),"Action, War",Finnish,Jalmari Helander,Petri Jokiranta,Jalmari Helander,"Apr 28, 2023 wide",$7.1M,1h 31m,Lionsgate,"Subzero Film Entertainment, Good Chaos",Dolby Digital,"May 16, 2023",Digital 2.39:1,
https://www.rottentomatoes.com/m/carmen_2022_2,Carmen,"
                    Benjamin Millepied's CARMEN is a gritty modern day tale, with a majestic score by Nicholas Britell, and dream-like dance sequences that evoke magic realism. The story follows a young and fiercely independent woman who is forced to flee her home in the Mexican desert following the brutal murder of her mother, another strong and mysterious woman. Carmen survives a terrifying and dangerous illegal border crossing into the US, only to be confronted by a lawless volunteer border guard who cold-bloodedly murders two other immigrants in her group. When the border guard and his patrol partner, Aidan--a Marine with PTSD--become embroiled in a deadly standoff, Carmen and Aidan are forced to escape together.
                ",R (Language|Some Violence|Nudity),"Drama, Musical",English (Australia),Benjamin Millepied,"Rosemary Blight, Dimitri Rassam, Mimi Valdés","Loïc Barrere, Alexander Dinelaris, Lisa Loomer, Prosper Mérimée, Alexander Dinelaris","Apr 21, 2023 limited",$81.9K,1h 56m,Sony Pictures Classics,"Sony Pictures Classics, Chapter 2, Goalpost Pictures",,,,
https://www.rottentomatoes.com/m/nefarious_2023,Nefarious,"
                    On the day of his scheduled execution, a convicted serial killer gets a psychiatric evaluation during which he claims he is a demon, and further claims that before their time is over, the psychiatrist will commit three murders of his own.
                ",R (Disturbing Violent Content),"Horror, Mystery & thriller",English,"Cary Solomon, Chuck Konzelman","Chris Jones, Cary Solomon, Chuck Konzelman, Sheila Hart","Cary Solomon, Chuck Konzelman","Apr 14, 2023 wide",$5.0M,1h 38m,Soli Deo Gloria Releasing,Believe Entertainment,,,,
https://www.rottentomatoes.com/m/love_again_2023,Love Again,"
                    What if a random text message led to the love of your life? In this romantic comedy, dealing with the loss of her fiancé, Mira Ray sends a series of romantic texts to his old cell phone number... not realizing the number was reassigned to Rob Burns' new work phone. A journalist, Rob is captivated by the honesty in the beautifully confessional texts. When he's assigned to write a profile of megastar Celine Dion (playing herself in her first film role), he enlists her help in figuring out how to meet Mira in person... and win her heart.
                ",PG-13 (Some Strong Language|Some Sexual Material),"Romance, Comedy",English,James C. Strouse,"Basil Iwanyk, Erica Lee, Esther Hornstein",James C. Strouse,"May 5, 2023 wide",$5.9M,1h 44m,Sony Pictures,Thunder Road Films,Dolby Digital,"May 23, 2023",,
https://www.rottentomatoes.com/m/return_to_seoul,Return to Seoul,"
                    On an impulse to reconnect with her origins, Freddie, 25, returns to South Korea for the first time, where she was born before being adopted and raised in France. The headstrong young woman starts looking for her biological parents in a country she knows so little about, taking her life in new and unexpected directions.
                ",R (Nudity|Language|Brief Drug Use),Drama,French (France),Davy Chou,"Katia Khazak, Charlotte Vincent",Davy Chou,"Dec 2, 2022 limited",$791.9K,1h 59m,Sony Pictures Classics,"VOO, Centre National du Cinéma et de L'image Animée, Seoul Metropolitan Government, Vandertastic Films, Aurora Films, Korean Film Council, Belga Productions, Ciné+, Frakas Productions, Cinémage 16, BE TV, Tax Shelter du Gouvernement Fédéral Belge, Belga Films Fund, Filmförderungsanstalt, Merecinema, Cofimage 33, Anti-Archive",,,Flat (1.85:1),
